日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible ads for quality Impressions,Quality Ads,Non-quality Ads,Quality Ads rate,Non-quality Ads rate
20260126,15,曾憲敏,202,85小說網,13445,MW_336X280_全量1_85小說網,,,,236,236,162,74,68.64%,31.36%
20260126,15,曾憲敏,202,85小說網,13446,MW_336X280_全量2_85小說網,,,,"2,721","2,721","2,008",713,73.80%,26.20%
20260126,15,曾憲敏,601,85小說網_PC,13450,(子)CF_336x280_全量2_85小說網,,,子聯播網,314,314,197,117,62.74%,37.26%
20260126,15,第一網站股份有限公司,2768,czbooks,13481,MW_300x250_banner_czbooks,antifroud,,子聯播網,"45,272","45,272","23,253","22,019",51.36%,48.64%
20260126,15,第一網站股份有限公司,2910,clickme,13548,(子)CF_300x250_banner_clickme(一般),,,子聯播網,778,778,471,307,60.54%,39.46%
20260126,15,第一網站股份有限公司,2910,clickme,13549,CF_300x250_banner_clickme(一般),,,,745,745,470,275,63.09%,36.91%
20260126,15,第一網站股份有限公司,2916,KiKiNote,13576,(子)CF_300x250_banner_kikinote,,知名媒體,子聯播網,"1,890","1,890","1,675",215,88.62%,11.38%
20260126,15,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13848,CF_300x250_轉址失敗_最右邊_reurl,,知名媒體,,6,6,0,6,0.00%,100.00%
20260126,15,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13856,CF_300x250_轉址失敗頁第二塊_reurl,,知名媒體,,6,6,0,6,0.00%,100.00%
20260126,15,第一網站股份有限公司,2768,czbooks,13903,(子)CF_300x250_banner_czbooks(直播),antifroud,,子聯播網,"240,645","240,645","117,327","123,318",48.76%,51.24%
20260126,15,第一網站股份有限公司,2768,czbooks,14036,MW_320x480_CZBOOKS,antifroud,,,672,672,366,306,54.46%,45.54%
20260126,15,陳人鳳,480,飛格寵物家族_PC,1407,CF-728X90_上方通欄_飛格寵物家族,,,,26,26,15,11,57.69%,42.31%
20260126,15,陳人鳳,480,飛格寵物家族_PC,1408,CF-300X250_內文_飛格寵物家族,,,,92,92,58,34,63.04%,36.96%
20260126,15,東森電視事業股份有限公司,2014,東森新聞網,14097,MW_蓋版_東森新聞網,,知名媒體,,"1,893","1,893","1,872",21,98.89%,1.11%
20260126,15,闇碼科技股份有限公司,3048,縮短網址產生器-reurl,14210,MW_文中創意300x250_縮短網址產生器-reurl,,知名媒體,,146,146,102,44,69.86%,30.14%
20260126,15,朱漢崴,3050,查電話_exchange,14221,MW_336x280_查電話首頁_最新回報下方 _whocll 查電話,,,,6,6,6,0,100.00%,0.00%
20260126,15,富盈數據股份有限公司,3059,塔科女子,14258,CF_336x280_全網_塔科女子,,知名媒體,,132,132,132,0,100.00%,0.00%
20260126,15,CBROOT LTD,3003,包子漫畫-exchange,14291,MW_300x250_蓋板(PB)_包子漫畫,,,,235,235,217,18,92.34%,7.66%
20260126,15,朱光宁,3152,石頭小說-exchange,14472,MW_336x280_Banner_石頭小說,,,,"5,598","5,598","3,134","2,464",55.98%,44.02%
20260126,15,朱光宁,3268,稷下書院-mobile,14737,MW_置底創意(非展開)_稷下書院-mobile,,,,6,6,5,1,83.33%,16.67%
20260126,15,朱光宁,3149,稷下書院-exchange,14748,MW_320x100_置底(PB)_稷下書院,,,,"19,174","19,174","9,468","9,706",49.38%,50.62%
20260126,15,巨思文化股份有限公司,3053,數位時代_HB,14764,MW_置底創意_(非展開)_數位時代_HB,,知名媒體,,80,80,74,6,92.50%,7.50%
20260126,15,曾憲敏,3327,85小說網_創意,15228,MW-創意-85小說網,,,,409,409,284,125,69.44%,30.56%
20260126,15,千晶文化事業股份有限公司,3336,Beauty 美人圈,15254,MW_置底創意(非展開)_ Beauty 美人圈,,知名媒體,,516,516,513,3,99.42%,0.58%
20260126,15,中天電視股份有限公司,3282,中天新聞網-exchange,15859,CF_336x280_內頁_PC右側互動看板B-中天新聞網-exchange,,知名媒體,,"1,320","1,320","1,134",186,85.91%,14.09%
20260126,15,CBROOT LTD,3352,西瓜卡通-exchange,15970,CF_160x600_影音內容_西瓜卡通-exchange,,,,6,6,3,3,50.00%,50.00%
20260126,15,朱光宁,3360,提莫書屋-exchange,16957,MW_336x280banner_提莫書屋_exchange,,,,"14,243","14,243","10,281","3,962",72.18%,27.82%
20260126,15,朱光宁,3361,提莫書屋-mobile,16958,MW_置底創意_提莫書屋-mobile,,,,88,88,58,30,65.91%,34.09%
20260126,15,朱光宁,3361,提莫書屋-mobile,16959,MW_320x480_文中創意_提莫書屋-mobile,,,,48,48,42,6,87.50%,12.50%
20260126,15,欣發現股份有限公司,3365,Hami任務牆-mobile,16969,MW_置底創意_Hami任務牆,,知名媒體,,6,6,4,2,66.67%,33.33%
20260126,15,欣發現股份有限公司,3364,女子學-mobile,16972,MW_置底創意_女子學,antifroud,,,74,74,65,9,87.84%,12.16%
20260126,15,欣發現股份有限公司,3363,大人物-mobile,16973,MW_置底創意_大人物,,知名媒體,,12,12,9,3,75.00%,25.00%
20260126,15,第一網站股份有限公司,2783,漫畫櫃manhuagui,17027,MW_320x480_蓋版_漫畫櫃manhuagui,,,,"1,210","1,210","1,119",91,92.48%,7.52%
20260126,15,朱光宁,3268,稷下書院-mobile,17207,MW_320x480_蓋版_稷下書院-mobile,,,,"11,911","11,911","7,637","4,274",64.12%,35.88%
20260126,15,李立娟,3395,vivi0視頻-exchange,17293,CF_336x280_Banner_vivi01視頻-exchange,antifroud,,,"27,913","27,913","26,424","1,489",94.67%,5.33%
20260126,15,李立娟,3395,vivi0視頻-exchange,17294,MW_336x280_Banner_vivi01視頻-exchange,antifroud,,,"38,933","38,933","37,008","1,925",95.06%,4.94%
20260126,15,李立娟,3395,vivi0視頻-exchange,17300,MW_320x100_置底(PB)_vivi01視頻-exchange,antifroud,,,"47,211","47,211","44,675","2,536",94.63%,5.37%
20260126,15,李立娟,3397,趣聞圖說-exchange,17309,MW_336x280_文中Banner_趣聞圖說-exchange,,,,656,656,361,295,55.03%,44.97%
20260126,15,曾憲敏,601,85小說網_PC,1773,CF-300x250_85小說網_內文1,,,,339,339,215,124,63.42%,36.58%
20260126,15,李立娟,3396,趣聞圖說-Mobile,17923,MW_置底創意(展開)_趣聞圖說-Mobile,,,,12,12,12,0,100.00%,0.00%
20260126,15,第一網站股份有限公司,2768,czbooks,17927,MW_置底創意_czbook,,,,"6,409","6,409","3,328","3,081",51.93%,48.07%
20260126,15,第一網站股份有限公司,3440,fsa_passback_first,18201,CF_336x280_fsa_passback_first,,,,22,22,19,3,86.36%,13.64%
20260126,15,第一網站股份有限公司,3440,fsa_passback_first,18202,CF_300x250_fsa_passback_first,,,,"3,344","3,344","2,495",849,74.61%,25.39%
20260126,15,朱光宁,3268,稷下書院-mobile,18297,MW_置底創意(展開)_稷下書院-mobile,,,,112,112,66,46,58.93%,41.07%
20260126,15,冰楓科技有限公司,3485,冰楓論壇-exchange,18487,CF_970x90_內文上方第一塊_冰楓論壇-exchange,,,,431,431,379,52,87.94%,12.06%
20260126,15,冰楓科技有限公司,3485,冰楓論壇-exchange,18488,MW_320x100_內文上方第一塊_ 冰楓論壇-exchange,antifroud,,,18,18,11,7,61.11%,38.89%
20260126,15,冰楓科技有限公司,3485,冰楓論壇-exchange,18492,MW_300x250_Banner_ 冰楓論壇-exchange,,,,184,184,162,22,88.04%,11.96%
20260126,15,闇碼科技股份有限公司,3048,縮短網址產生器-reurl,18535,MW_蓋版_縮短網址產生器-reurl,,知名媒體,,19,19,18,1,94.74%,5.26%
20260126,15,CBROOT LTD,3510,包子漫畫_twmanga-exchange,18732,MW_336x280_Banner_包子漫畫_twmanga,,,子聯播網,"32,290","32,290","23,543","8,747",72.91%,27.09%
20260126,15,CBROOT LTD,3510,包子漫畫_twmanga-exchange,18737,CF_970x90_Banner_ 包子漫畫_twmanga-exchange,,,,46,46,42,4,91.30%,8.70%
20260126,15,舒禾驊,3535,荷花動漫筆記,18887,CF_336x280_文章頁文中_荷花動漫筆記,,,,22,22,13,9,59.09%,40.91%
20260126,15,台灣英文新聞股份有限公司,3537,台灣英文新聞(new)-exchange,18924,CF_300x250_內容頁_右側看版_1_台灣英文新聞(new)-exchange,,知名媒體,,84,84,77,7,91.67%,8.33%
20260126,15,艾得基客行銷顧問股份有限公司,3552,玩具人,19044,MW_320x480_文中創意_玩具人,,知名媒體,,30,30,29,1,96.67%,3.33%
20260126,15,第一網站股份有限公司,2783,漫畫櫃manhuagui,20685,MW_300X250_manhuagui,antifroud,,,"3,341","3,341","3,088",253,92.43%,7.57%
20260126,15,德榕企業有限公司,3577,TW Bodhi,20705,(子)CF_336x280_文章頁(RWD)_TW Bodhi,antifroud,,子聯播網,12,12,12,0,100.00%,0.00%
20260126,15,德榕企業有限公司,3578,TW Bodhi_mobile,20708,MW_蓋板_TW Bodhi,,,,251,251,248,3,98.80%,1.20%
20260126,15,德榕企業有限公司,3578,TW Bodhi_mobile,20719,MW_文中創意300x250_TW Bodhi,,,,6,6,6,0,100.00%,0.00%
20260126,15,德榕企業有限公司,3581,忘憂書屋,20727,CF_336x280文章頁(RWD)_忘憂書屋,,,,92,92,91,1,98.91%,1.09%
20260126,15,德榕企業有限公司,3582,忘憂書屋_mobile,20728,MW_文中創意300x250_忘憂書屋,,,,6,6,6,0,100.00%,0.00%
20260126,15,德榕企業有限公司,3582,忘憂書屋_mobile,20729,MW_蓋板_忘憂書屋,,,,6,6,6,0,100.00%,0.00%
20260126,15,第一網站股份有限公司,2910,clickme,20735,(子)CF_300x250_banner_clickme(成人),,,子聯播網,"8,140","8,140","6,114","2,026",75.11%,24.89%
20260126,15,第一網站股份有限公司,3440,fsa_passback_first,21699,CF_336x280_fsa_passback_first,,,,"2,666","2,666","2,169",497,81.36%,18.64%
20260126,15,富盈數據股份有限公司,3653,TVBS-女人我最大_HB,21760,MW_文章三_336x280_TVBS-女人我最大_HB,,知名媒體,,12,12,12,0,100.00%,0.00%
20260126,15,富盈數據股份有限公司,3653,TVBS-女人我最大_HB,21761,MW_文章四_336x280_TVBS-女人我最大_HB,,知名媒體,,262,262,260,2,99.24%,0.76%
20260126,15,富盈數據股份有限公司,3653,TVBS-女人我最大_HB,21763,MW_文中創意320x480_TVBS-女人我最大_HB,,知名媒體,,110,110,109,1,99.09%,0.91%
20260126,15,富盈數據股份有限公司,3654,TVBS-健康2.0_HB,21768,MW_文中創意320x480_TVBS-健康2.0_HB,,知名媒體,,"2,979","2,979","2,782",197,93.39%,6.61%
20260126,15,富盈數據股份有限公司,3655,TVBS-食尚玩家_HB,21773,MW_文中創意320x480_TVBS-食尚玩家_HB,,知名媒體,,251,251,223,28,88.84%,11.16%
20260126,15,儂儂雜誌社股份有限公司(bella儂儂),2135,Bella儂儂_2024,21876,MW-300x250_文章標題上方1_Bella儂儂,,知名媒體,,538,538,518,20,96.28%,3.72%
20260126,15,富盈數據股份有限公司,3684,稅美人_mobile,21923,MW_置底創意(非展開)_稅美人-mobile,,,,301,301,171,130,56.81%,43.19%
20260126,15,富盈數據股份有限公司,3685,玩桌遊_mobile,21924,MW_置底創意(非展開)_玩桌遊-mobile,,,,269,269,155,114,57.62%,42.38%
20260126,15,富盈數據股份有限公司,2615,熱血台中,21986,CF_336x280_全網_熱血台中,,,,6,6,6,0,100.00%,0.00%
20260126,15,富盈數據股份有限公司,2615,熱血台中,21987,CF_336x280_全網_熱血台中,,,,12,12,12,0,100.00%,0.00%
20260126,15,富盈數據股份有限公司,3704,天天要聞,22030,CF_300 x 250 banner_天天要聞_cpc2,,,,"1,332","1,332",685,647,51.43%,48.57%
20260126,15,富盈數據股份有限公司,3703,繁體小說,22031,CF_300 x 250 banner_繁體小說_cpc2,,,,148,148,110,38,74.32%,25.68%
20260126,15,朱光宁,3708,石頭小說,22045,CF_336 x 280 banner_石頭小說_cpc1.67,antifroud,,,"69,605","69,605","37,266","32,339",53.54%,46.46%
20260126,15,噗浪股份有限公司,58,Plurk_Mobile,22054,MA_(1)300 x 250 橫幅_Plurk,,知名媒體,,6,6,6,0,100.00%,0.00%
20260126,15,朱光宁,3718,稷下書院2,22093,CF_336 x 280 banner_稷下書院2_cpc1.67,antifroud,,,"65,049","65,049","33,970","31,079",52.22%,47.78%
