日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Reduced Value Inventory (RVI) Ads,Incentivized Browsing (RVI) Ads,Proxy Server (RVI) Ads,seeThrough Ads,Invisible URL Ads,Total Eligible Ads for Site Quality,% Reduced Value Inventory (RVI) Ads,% seeThrough Ads,Invisible URL rate,% Incentivized Browsing (RVI) Ads,% Proxy Server (RVI) Ads
20260126,16,CBROOT LTD,3352,西瓜卡通-exchange,15969,CF_728x90_影音內容_西瓜卡通-exchange,,,,32,0,0,0,32,0,32,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,CBROOT LTD,3352,西瓜卡通-exchange,15970,CF_160x600_影音內容_西瓜卡通-exchange,,,,128,0,0,0,128,0,128,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,時報資訊股份有限公司,2817,旺得富,16910,CF_300x250_Billboard_1s_旺得富,,知名媒體,,12,0,0,0,12,0,12,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,時報資訊股份有限公司,2817,旺得富,16911,CF_300x250_Billboard_2nd_旺得富,,知名媒體,,24,0,0,0,24,0,24,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,葉志斌,2745,繁中寶可夢卡表生成器-奶爸工作室-exchange,16950,CF_160x600_Banner_繁中寶可夢卡表生成器-奶爸工作室-exchange,,,,12,2,0,2,11,0,12,16.67%,91.67%,0.00%,0.00%,16.67%
20260126,16,葉志斌,2745,繁中寶可夢卡表生成器-奶爸工作室-exchange,16951,CF_300x600_Banner_繁中寶可夢卡表生成器-奶爸工作室-exchange,,,,6,2,0,2,5,0,6,33.33%,83.33%,0.00%,0.00%,33.33%
20260126,16,朱光宁,3360,提莫書屋-exchange,16957,MW_336x280banner_提莫書屋_exchange,,,,"14,922","3,052",0,"3,052","12,209",0,14922,20.45%,81.82%,0.00%,0.00%,20.45%
20260126,16,朱光宁,3361,提莫書屋-mobile,16958,MW_置底創意_提莫書屋-mobile,,,,62,16,0,16,48,0,62,25.81%,77.42%,0.00%,0.00%,25.81%
20260126,16,朱光宁,3361,提莫書屋-mobile,16959,MW_320x480_文中創意_提莫書屋-mobile,,,,56,8,0,8,47,0,56,14.29%,83.93%,0.00%,0.00%,14.29%
20260126,16,欣發現股份有限公司,3364,女子學-mobile,16972,MW_置底創意_女子學,antifroud,,,32,0,0,0,32,0,32,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,欣發現股份有限公司,3363,大人物-mobile,16973,MW_置底創意_大人物,,知名媒體,,6,0,0,0,5,0,6,0.00%,83.33%,0.00%,0.00%,0.00%
20260126,16,第一網站股份有限公司,2783,漫畫櫃manhuagui,17027,MW_320x480_蓋版_漫畫櫃manhuagui,,,,"6,639","1,619",0,"1,619","4,952",0,6639,24.39%,74.59%,0.00%,0.00%,24.39%
20260126,16,艾得基客行銷顧問股份有限公司,3373,良醫健康網,17092,MW_置底創意_良醫健康網,,知名媒體,,30,10,0,10,19,0,30,33.33%,63.33%,0.00%,0.00%,33.33%
20260126,16,朱光宁,3268,稷下書院-mobile,17207,MW_320x480_蓋版_稷下書院-mobile,,,,"35,498","11,107",0,"11,107","24,575",0,35498,31.29%,69.23%,0.00%,0.00%,31.29%
