日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible Ads for Invalid Traffic,Invalid Traffic Ads,Valid Traffic Ads,General Invalid Traffic (GIVT) Ads,Sophisticated Invalid Traffic (SIVT) Ads,Bots (SIVT) Ads,Domain Spoofing (SIVT) Ads,Hidden Ads (SIVT) Ads,% Eligible for Invalid Traffic,% Invalid Traffic Ads,% General Invalid Traffic (GIVT) Ads,% Sophisticated Invalid Traffic (SIVT) Ads,% Bots (SIVT) Ads,% Domain Spoofing (SIVT) Ads,% Hidden Ads (SIVT) Ads
20260126,15,CBROOT LTD,3352,西瓜卡通-exchange,15970,CF_160x600_影音內容_西瓜卡通-exchange,,,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,朱光宁,3360,提莫書屋-exchange,16957,MW_336x280banner_提莫書屋_exchange,,,,"14,231","14,231",25,"14,206",18,7,7,0,0,100.00%,0.18%,0.13%,0.05%,0.05%,0.00%,0.00%
20260126,15,朱光宁,3361,提莫書屋-mobile,16958,MW_置底創意_提莫書屋-mobile,,,,88,88,0,88,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,朱光宁,3361,提莫書屋-mobile,16959,MW_320x480_文中創意_提莫書屋-mobile,,,,48,48,0,48,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,欣發現股份有限公司,3365,Hami任務牆-mobile,16969,MW_置底創意_Hami任務牆,,知名媒體,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,欣發現股份有限公司,3364,女子學-mobile,16972,MW_置底創意_女子學,antifroud,,,74,74,0,74,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,欣發現股份有限公司,3363,大人物-mobile,16973,MW_置底創意_大人物,,知名媒體,,12,12,0,12,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2783,漫畫櫃manhuagui,17027,MW_320x480_蓋版_漫畫櫃manhuagui,,,,"1,204","1,204",0,"1,204",0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,朱光宁,3268,稷下書院-mobile,17207,MW_320x480_蓋版_稷下書院-mobile,,,,"11,899","11,899",17,"11,882",3,14,14,0,0,100.00%,0.14%,0.03%,0.12%,0.12%,0.00%,0.00%
20260126,15,李立娟,3395,vivi0視頻-exchange,17293,CF_336x280_Banner_vivi01視頻-exchange,antifroud,,,"27,877","27,877",29,"27,848",15,14,14,0,0,100.00%,0.10%,0.05%,0.05%,0.05%,0.00%,0.00%
20260126,15,李立娟,3395,vivi0視頻-exchange,17294,MW_336x280_Banner_vivi01視頻-exchange,antifroud,,,"38,927","38,927",50,"38,877",18,32,32,0,0,100.00%,0.13%,0.05%,0.08%,0.08%,0.00%,0.00%
20260126,15,李立娟,3395,vivi0視頻-exchange,17300,MW_320x100_置底(PB)_vivi01視頻-exchange,antifroud,,,"47,205","47,205",64,"47,141",16,48,48,0,0,100.00%,0.14%,0.03%,0.10%,0.10%,0.00%,0.00%
20260126,15,李立娟,3397,趣聞圖說-exchange,17309,MW_336x280_文中Banner_趣聞圖說-exchange,,,,650,650,205,445,18,187,187,0,0,100.00%,31.54%,2.77%,28.77%,28.77%,0.00%,0.00%
